SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1712678956.184201, , , , , , -8.479851, , , 
1712678956.214451, , , , , , -8.546477, , , 
1712678956.244716, , , , , , -8.701796, , , 
1712678956.275011, , , , , , -8.856982, , , 
1712678956.305313, , , , , , -9.030595, , , 
1712678956.335621, , , , , , -9.218488, , , 
1712678956.365917, , , , , , -9.395884, , , 
1712678956.396222, , , , , , -9.553862, , , 
1712678956.426549, , , , , , -9.683032, , , 
1712678956.456833, , , , , , -9.769947, , , 
1712678956.487130, , , , , , -9.803058, , , 
1712678956.517430, , , , , , -9.778949, , , 
1712678956.547734, , , , , , -9.701003, , , 
1712678956.578059, , , , , , -9.574863, , , 
1712678956.608341, , , , , , -9.413456, , , 
1712678956.638643, , , , , , -9.225997, , , 
1712678956.668943, , , , , , -9.032539, , , 
1712678956.699246, , , , , , -8.841074, , , 
1712678956.729573, , , , , , -8.670412, , , 
1712678956.759966, , , , , , -8.529384, , , 
1712678956.790151, , , , , , -8.422681, , , 
1712678956.820478, , , , , , -8.357663, , , 
1712678956.850764, , , , , , -8.339751, , , 
1712678956.881023, , , , , , -8.371552, , , 
1712678956.911455, , , , , , -8.453777, , , 
1712678956.941773, , , , , , -8.575992, , , 
1712678956.972062, , , , , , -8.728700, , , 
1712678957.002380, , , , , , -8.902951, , , 
1712678957.032601, , , , , , -9.083886, , , 
1712678957.062874, , , , , , -9.265260, , , 
1712678957.093158, , , , , , -9.428932, , , 
1712678957.123468, , , , , , -9.561850, , , 
1712678957.154018, , , , , , -9.656933, , , 
1712678957.184644, , , , , , -9.697803, , , 
1712678957.214423, , , , , , -9.684006, , , 
1712678957.244725, , , , , , -9.620114, , , 
1712678957.274739, , , , , , -9.450253, , , 
1712678957.305309, , , , , , -9.284243, , , 
1712678957.335506, , , , , , -9.095423, , , 
1712678957.365804, , , , , , -8.900506, , , 
1712678957.396115, , , , , , -8.714427, , , 
